ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
220491,2013,13,26048,0,14577,0,0,two-year private,0
220491,2014,3,11460,0,13694,0,0,two-year private,0
220491,2015,10,42788,0,13193,0,0,two-year private,1
220516,2010,227,527333,471750,17158,0,1,four-year private,0
220516,2011,174,334355,384875,17077,0,1,four-year private,0
220516,2012,226,463184,503354,18108,0,1,four-year private,0
220516,2013,241,431495,430939,16845,0,1,four-year private,0
220516,2014,188,386283,303625,18504,0,1,four-year private,0
220516,2015,154,352458,227750,18918,0,1,four-year private,1
220552,2010,299,1314754,455555,25127,0,1,four-year private,0
220552,2011,256,861929,313470,26196,0,1,four-year private,0
220552,2012,198,617506,366099,26647,0,1,four-year private,0
220552,2013,183,632537,335228,27560,0,1,four-year private,0
220552,2014,147,626771,233195,26837,0,1,four-year private,0
220552,2015,204,585470,573178,25885,0,1,four-year private,1
220598,2010,696,3714363,802452,9091,0,1,four-year private,0
220598,2011,599,3754818,552750,8491,0,1,four-year private,0
220598,2012,324,1568584,353454,10823,0,1,four-year private,0
220598,2013,405,2198587,366964,11527,0,1,four-year private,0
220598,2014,312,1857073,286890,11659,0,1,four-year private,0
220598,2015,444,2144523,813500,11911,0,1,four-year private,1
220604,2010,207,468001,137820,11338,0,1,four-year private,0
220604,2011,183,460422,137875,11029,0,1,four-year private,0
220604,2012,175,460312,114275,11709,0,1,four-year private,0
220604,2013,159,443176,104561,12914,0,1,four-year private,0
220604,2014,145,824538,180616,9114,0,1,four-year private,0
220604,2015,183,1013698,325426,8587,0,1,four-year private,1
220613,2010,851,1608577,1616339,11620,0,1,four-year private,0
220613,2011,870,1369393,1630443,12300,0,1,four-year private,0
220613,2012,846,1351010,1833319,11773,0,1,four-year private,0
220613,2013,808,1200258,1713319,14084,0,1,four-year private,0
220613,2014,746,1070572,1473025,18139,0,1,four-year private,0
220613,2015,826,1355031,1659417,16789,0,1,four-year private,1
220631,2010,327,892842,1228244,12764,0,1,four-year private,0
220631,2011,312,958412,1327595,11480,0,1,four-year private,0
220631,2012,234,670203,644009,14576,0,1,four-year private,0
220631,2013,185,477994,845279,12484,0,1,four-year private,0
220631,2014,250,718273,663860,15791,0,1,four-year private,0
220631,2015,243,692563,650582,16276,0,1,four-year private,1
220640,2010,280,583280,299624,4724,1,0,two-year public,0
220640,2011,259,594997,250904,5726,1,0,two-year public,0
220640,2012,246,641965,286002,5271,1,0,two-year public,0
220640,2013,287,625449,241042,5108,1,0,two-year public,0
220640,2014,259,553167,206540,4726,1,0,two-year public,0
220640,2015,329,724803,423202,5532,1,0,two-year public,1
220701,2010,263,67633,101391,28324,0,1,four-year private,0
220701,2011,360,1190154,1052157,9911,0,1,four-year private,0
220701,2012,281,963422,973500,13451,0,1,four-year private,0
220701,2013,335,584510,581500,23196,0,1,four-year private,0
220701,2014,447,631099,657300,23560,0,1,four-year private,0
220701,2015,275,430701,462076,24450,0,1,four-year private,1
220710,2010,277,730442,1016100,16425,0,1,four-year private,0
220710,2011,293,633205,1358168,15844,0,1,four-year private,0
220710,2012,313,739554,1429538,15605,0,1,four-year private,0
220710,2013,349,840405,1300500,16504,0,1,four-year private,0
220710,2014,334,1014056,1071650,16860,0,1,four-year private,0
220710,2015,338,829890,950150,15542,0,1,four-year private,1
220756,2010,233,470545,387495,7667,1,0,two-year public,0
220756,2011,175,341650,322094,10540,1,0,two-year public,0
220756,2012,124,507446,408146,9860,1,0,two-year public,0
220756,2013,96,195372,96310,7195,1,0,two-year public,0
220756,2014,110,263438,127712,7200,1,0,two-year public,0
220756,2015,103,266002,179811,3159,1,0,two-year public,1
220765,2010,459,1190132,12818,10114,0,0,two-year private,0
220765,2011,463,1229072,10000,9900,0,0,two-year private,0
220765,2012,462,1522522,7139,10530,0,0,two-year private,0
